,distance,consume,speed,temp_inside,temp_outside,specials,gas_type,ac,rain,sun,refill_liters,refill_gas,consumo_abs,CO2,CO2_km,speed_range,temp_o_range
0,28.0,5.0,26,"21,5",12,Otro,E10,0,0,0,45,E10,1.4,3220.0,115.0,"(0, 30]","(10, 15]"
1,12.0,4.2,30,"21,5",13,Otro,E10,0,0,0,,,0.504,1159.2,96.60000000000001,"(0, 30]","(10, 15]"
2,11.2,5.5,38,"21,5",15,Otro,E10,0,0,0,,,0.616,1416.8,126.5,"(30, 60]","(10, 15]"
3,12.9,3.9,36,"21,5",14,Otro,E10,0,0,0,,,0.5031,1157.1299999999999,89.69999999999999,"(30, 60]","(10, 15]"
4,18.5,4.5,46,"21,5",15,Otro,E10,0,0,0,,,0.8325,1914.75,103.5,"(30, 60]","(10, 15]"
5,8.3,6.4,50,"21,5",10,Otro,E10,0,0,0,,,0.5312,1221.76,147.2,"(30, 60]","(5, 10]"
6,7.8,4.4,43,"21,5",11,Otro,E10,0,0,0,,,0.3432,789.36,101.2,"(30, 60]","(10, 15]"
7,12.3,5.0,40,"21,5",6,Otro,E10,0,0,0,,,0.615,1414.5,115.0,"(30, 60]","(5, 10]"
8,4.9,6.4,26,"21,5",4,Otro,E10,0,0,0,,,0.31360000000000005,721.2800000000001,147.20000000000002,"(0, 30]","(0, 5]"
9,11.9,5.3,30,"21,5",9,Otro,E10,0,0,0,,,0.6307,1450.6100000000001,121.9,"(0, 30]","(5, 10]"
10,12.4,5.6,42,"21,5",4,Otro,E10,0,0,0,,,0.6944,1597.1200000000001,128.8,"(30, 60]","(0, 5]"
11,11.8,4.6,38,"21,5",0,Otro,E10,0,0,0,,,0.5428000000000001,1248.44,105.8,"(30, 60]","(-5, 0]"
12,12.3,5.9,59,"21,5",10,Otro,E10,0,0,0,,,0.7257000000000001,1669.1100000000004,135.70000000000002,"(30, 60]","(5, 10]"
13,24.7,5.1,58,"21,5",12,Otro,E10,0,0,0,,,1.2596999999999998,2897.3099999999995,117.29999999999998,"(30, 60]","(10, 15]"
14,12.4,4.7,46,"21,5",11,Otro,E10,0,0,0,,,0.5828,1340.44,108.1,"(30, 60]","(10, 15]"
15,17.3,5.1,24,"21,5",5,Otro,E10,0,0,0,,,0.8823000000000001,2029.2900000000002,117.30000000000001,"(0, 30]","(0, 5]"
16,33.4,5.6,36,"21,5",3,Otro,E10,0,0,0,,,1.8703999999999998,4301.92,128.8,"(30, 60]","(0, 5]"
17,11.8,5.1,32,"21,5",3,Otro,E10,0,0,0,,,0.6018,1384.14,117.3,"(30, 60]","(0, 5]"
18,25.9,4.9,39,"21,5",8,Otro,E10,0,0,0,,,1.2691,2918.93,112.7,"(30, 60]","(5, 10]"
19,11.8,4.7,40,"21,5",4,Otro,E10,0,0,0,,,0.5546000000000001,1275.5800000000002,108.10000000000001,"(30, 60]","(0, 5]"
20,25.3,5.5,32,"21,5",3,Otro,E10,0,0,0,,,1.3915,3200.45,126.49999999999999,"(30, 60]","(0, 5]"
21,14.2,5.9,38,"21,5",1,Otro,E10,0,0,0,,,0.8378,1926.94,135.70000000000002,"(30, 60]","(0, 5]"
22,17.9,5.7,37,"21,5",1,Otro,E10,0,0,0,,,1.0203,2346.69,131.10000000000002,"(30, 60]","(0, 5]"
23,11.8,4.7,36,"21,5",1,Otro,E10,0,0,0,,,0.5546000000000001,1275.5800000000002,108.10000000000001,"(30, 60]","(0, 5]"
24,12.3,5.9,62,"21,5",6,Otro,E10,0,0,0,,,0.7257000000000001,1669.1100000000004,135.70000000000002,"(60, 90]","(5, 10]"
25,12.4,4.1,57,"21,5",9,Otro,E10,0,0,0,,,0.5084,1169.32,94.3,"(30, 60]","(5, 10]"
26,18.4,5.7,21,"22,5",2,Otro,E10,0,0,0,,,1.0488,2412.24,131.1,"(0, 30]","(0, 5]"
27,18.4,5.8,28,"21,5",3,Otro,E10,0,0,0,,,1.0672,2454.56,133.4,"(0, 30]","(0, 5]"
28,18.3,5.5,29,"21,5",1,Otro,E10,0,0,0,,,1.0065,2314.95,126.49999999999999,"(0, 30]","(0, 5]"
29,18.4,5.7,35,"21,5",4,Otro,E10,0,0,0,,,1.0488,2412.24,131.1,"(30, 60]","(0, 5]"
30,12.3,5.3,51,"21,5",11,Otro,E10,0,0,0,,,0.6518999999999999,1499.37,121.89999999999998,"(30, 60]","(10, 15]"
31,11.8,5.0,29,"21,5",10,Otro,E10,0,0,0,,,0.59,1357.0,115.0,"(0, 30]","(5, 10]"
32,12.3,5.6,58,"21,5",8,Otro,E10,0,0,0,,,0.6888,1584.24,128.79999999999998,"(30, 60]","(5, 10]"
33,32.6,4.8,40,"21,5",7,Otro,E10,0,0,0,,,1.5648,3599.04,110.39999999999999,"(30, 60]","(5, 10]"
34,19.0,4.3,36,"21,5",7,Otro,E10,0,0,0,,,0.8170000000000001,1879.1000000000001,98.9,"(30, 60]","(5, 10]"
35,12.1,5.7,36,"21,5",8,Otro,E10,0,0,0,,,0.6897,1586.31,131.1,"(30, 60]","(5, 10]"
36,20.0,5.2,37,"21,5",4,Otro,E10,0,0,0,,,1.04,2392.0,119.6,"(30, 60]","(0, 5]"
37,4.9,7.4,26,"21,5",6,Otro,E10,0,0,0,,,0.36260000000000003,833.9800000000001,170.20000000000002,"(0, 30]","(5, 10]"
38,11.8,4.8,23,"21,5",9,Otro,E10,0,0,0,,,0.5664,1302.72,110.39999999999999,"(0, 30]","(5, 10]"
39,12.3,6.5,58,"21,5",7,Otro,E10,0,0,0,,,0.7995,1838.85,149.49999999999997,"(30, 60]","(5, 10]"
40,12.4,4.0,55,"21,5",7,AC Rain,E10,1,1,0,,,0.496,1140.8,92.0,"(30, 60]","(5, 10]"
41,4.5,5.0,29,"21,5",7,AC,E10,1,0,0,,,0.225,517.5,115.0,"(0, 30]","(5, 10]"
42,11.7,4.6,37,"21,5",6,Otro,E10,0,0,0,,,0.5381999999999999,1237.8599999999997,105.79999999999998,"(30, 60]","(5, 10]"
43,10.2,4.3,44,"21,5",7,Otro,E10,0,0,0,,,0.43859999999999993,1008.7799999999999,98.89999999999999,"(30, 60]","(5, 10]"
44,5.4,3.3,32,"21,5",7,Otro,SP98,0,0,0,"37,6",SP98,0.1782,409.86,75.89999999999999,"(30, 60]","(5, 10]"
45,2.0,9.9,21,"21,5",4,Otro,SP98,0,0,0,,,0.198,455.40000000000003,227.70000000000002,"(0, 30]","(0, 5]"
46,14.2,5.1,32,"21,5",7,Otro,SP98,0,0,0,,,0.7241999999999998,1665.6599999999996,117.29999999999998,"(30, 60]","(5, 10]"
47,16.0,4.9,25,"21,5",8,Otro,SP98,0,0,0,,,0.784,1803.2,112.7,"(0, 30]","(5, 10]"
48,11.8,4.9,25,"21,5",11,Otro,SP98,0,0,0,,,0.5782,1329.8600000000001,112.7,"(0, 30]","(10, 15]"
49,27.3,4.7,36,"21,5",10,Otro,SP98,0,0,0,,,1.2831000000000001,2951.13,108.1,"(30, 60]","(5, 10]"
50,11.8,5.1,29,"21,5",5,Rain,SP98,0,1,0,,,0.6018,1384.14,117.3,"(0, 30]","(0, 5]"
51,10.6,4.9,63,"21,5",6,Otro,SP98,0,0,0,,,0.5194000000000001,1194.6200000000001,112.70000000000002,"(60, 90]","(5, 10]"
52,11.6,4.2,61,"21,5",7,Otro,SP98,0,0,0,,,0.48719999999999997,1120.56,96.6,"(60, 90]","(5, 10]"
53,13.1,6.1,46,"21,5",6,Rain,SP98,0,1,0,,,0.7990999999999999,1837.9299999999998,140.29999999999998,"(30, 60]","(5, 10]"
54,6.1,6.4,28,"21,5",8,Otro,SP98,0,0,0,,,0.39039999999999997,897.92,147.2,"(0, 30]","(5, 10]"
55,153.5,4.9,82,"21,5",3,Rain,SP98,0,1,0,,,7.5215000000000005,17299.45,112.7,"(60, 90]","(0, 5]"
56,11.8,4.9,24,"21,5",7,Otro,SP98,0,0,0,,,0.5782,1329.8600000000001,112.7,"(0, 30]","(5, 10]"
57,12.3,6.2,61,"21,5",8,Otro,SP98,0,0,0,,,0.7626000000000001,1753.98,142.6,"(60, 90]","(5, 10]"
58,12.4,4.2,57,"21,5",8,Otro,SP98,0,0,0,,,0.5208,1197.8400000000001,96.60000000000001,"(30, 60]","(5, 10]"
59,12.3,5.7,52,"21,5",8,Rain,SP98,0,1,0,,,0.7011,1612.53,131.1,"(30, 60]","(5, 10]"
60,2.9,7.9,18,"21,5",9,AC Rain,SP98,1,1,0,,,0.2291,526.93,181.7,"(0, 30]","(5, 10]"
61,2.1,12.2,23,"21,5",9,Otro,SP98,1,1,0,,,0.2562,589.26,280.59999999999997,"(0, 30]","(5, 10]"
62,9.8,5.8,24,"21,5",6,Otro,SP98,0,0,0,,,0.5684,1307.32,133.39999999999998,"(0, 30]","(5, 10]"
63,6.8,5.3,26,"21,5",6,Otro,SP98,0,0,0,,,0.3604,828.92,121.89999999999999,"(0, 30]","(5, 10]"
64,12.4,5.4,24,"21,5",7,Otro,SP98,0,0,0,,,0.6696000000000001,1540.0800000000002,124.2,"(0, 30]","(5, 10]"
65,12.4,4.7,57,"21,5",8,Otro,SP98,0,0,0,,,0.5828,1340.44,108.1,"(30, 60]","(5, 10]"
66,11.8,4.6,41,"21,5",6,Otro,SP98,0,0,0,,,0.5428000000000001,1248.44,105.8,"(30, 60]","(5, 10]"
67,12.3,5.4,55,"21,5",8,Otro,SP98,0,0,0,,,0.6642,1527.66,124.2,"(30, 60]","(5, 10]"
68,14.0,4.3,40,"21,5",8,Otro,SP98,0,0,0,,,0.602,1384.6,98.89999999999999,"(30, 60]","(5, 10]"
69,11.8,4.5,37,"21,5",4,AC,SP98,1,0,0,,,0.531,1221.3,103.49999999999999,"(30, 60]","(0, 5]"
70,12.3,5.2,55,"21,5",12,Otro,SP98,0,0,0,,,0.6396000000000001,1471.0800000000002,119.60000000000001,"(30, 60]","(10, 15]"
71,2.0,6.2,20,"21,5",10,Otro,SP98,0,0,0,,,0.124,285.2,142.6,"(0, 30]","(5, 10]"
72,13.9,5.1,29,"21,5",6,Otro,SP98,0,0,0,,,0.7089,1630.47,117.3,"(0, 30]","(5, 10]"
73,9.7,3.9,42,"21,5",8,Otro,SP98,0,0,0,,,0.37829999999999997,870.0899999999999,89.7,"(30, 60]","(5, 10]"
74,11.6,5.0,25,"21,5",6,Otro,SP98,0,0,0,,,0.58,1334.0,115.0,"(0, 30]","(5, 10]"
75,14.2,5.4,38,"21,5",7,Otro,SP98,0,0,0,,,0.7668,1763.64,124.20000000000002,"(30, 60]","(5, 10]"
76,11.8,4.5,39,"21,5",6,Otro,SP98,0,0,0,,,0.531,1221.3,103.49999999999999,"(30, 60]","(5, 10]"
77,24.8,5.1,50,"21,5",9,Otro,SP98,0,0,0,,,1.2648,2909.04,117.3,"(30, 60]","(5, 10]"
78,12.4,4.7,56,"21,5",7,Otro,SP98,0,0,0,,,0.5828,1340.44,108.1,"(30, 60]","(5, 10]"
79,34.8,4.0,28,20,4,Otro,SP98,0,0,0,,,1.392,3201.6,92.0,"(0, 30]","(0, 5]"
80,14.2,5.4,36,20,6,Otro,SP98,0,0,0,,,0.7668,1763.64,124.20000000000002,"(30, 60]","(5, 10]"
81,5.2,4.5,39,20,10,Otro,SP98,0,0,0,,,0.234,538.2,103.5,"(30, 60]","(5, 10]"
82,10.5,3.6,42,20,10,Otro,SP98,0,0,0,"37,7",SP98,0.37800000000000006,869.4000000000001,82.80000000000001,"(30, 60]","(5, 10]"
83,12.3,5.2,57,20,10,Otro,SP98,0,0,0,,,0.6396000000000001,1471.0800000000002,119.60000000000001,"(30, 60]","(5, 10]"
84,11.8,4.9,25,20,11,Otro,SP98,0,0,0,,,0.5782,1329.8600000000001,112.7,"(0, 30]","(10, 15]"
